tempo_min,vazao_oleo_bopd,pressao_psi,viscosidade_cp,volume_oleo_bbl,temperatura_C,GOR,WOR
0.0833333,11094.33,2850.00,2.80,54999999.36,92.00,420.00,0.15
0.166667,10940.24,2850.00,2.80,54999998.73,92.00,420.00,0.15
0.25,11127.35,2850.00,2.80,54999998.09,92.00,420.00,0.15
0.333333,10874.20,2850.00,2.80,54999997.45,92.00,420.00,0.15
0.416667,11072.32,2850.00,2.80,54999996.82,92.00,420.00,0.15
0.5,11226.40,2850.00,2.80,54999996.18,92.00,420.00,0.15
0.583333,11193.39,2850.00,2.80,54999995.54,92.00,420.00,0.15
0.666667,11138.35,2850.00,2.80,54999994.90,92.00,420.00,0.15
0.75,11083.32,2850.00,2.80,54999994.27,92.00,420.00,0.15
0.833333,11171.37,2850.00,2.80,54999993.63,92.00,420.00,0.15
0.916667,10896.21,2850.00,2.80,54999992.99,92.00,420.00,0.15
1,11050.30,2850.00,2.80,54999992.36,92.00,420.00,0.15
1.08333,10808.16,2850.00,2.80,54999991.72,92.00,420.00,0.15
1.16667,10940.24,2850.00,2.80,54999991.08,92.00,420.00,0.15
1.25,10863.19,2850.00,2.80,54999990.45,92.00,420.00,0.15
1.33333,11061.31,2850.00,2.80,54999989.81,92.00,420.00,0.15
1.41667,10896.21,2850.00,2.80,54999989.17,92.00,420.00,0.15
1.5,11116.34,2850.00,2.80,54999988.54,92.00,420.00,0.15
1.58333,10841.18,2850.00,2.80,54999987.90,92.00,420.00,0.15
1.66667,11204.39,2850.00,2.80,54999987.26,92.00,420.00,0.15
1.75,10929.23,2850.00,2.80,54999986.62,92.00,420.00,0.15
1.83333,11138.35,2850.00,2.80,54999985.99,92.00,420.00,0.15
1.91667,11094.32,2850.00,2.80,54999985.35,92.00,420.00,0.15
2,11116.34,2850.00,2.80,54999984.71,92.00,420.00,0.15
2.08333,11204.39,2850.00,2.80,54999984.08,92.00,420.00,0.15
2.16667,11017.28,2850.00,2.80,54999983.44,92.00,420.00,0.15
2.25,10973.25,2850.00,2.80,54999982.80,92.00,420.00,0.15
2.33333,10852.19,2850.00,2.80,54999982.17,92.00,420.00,0.15
2.41667,10918.22,2850.00,2.80,54999981.53,92.00,420.00,0.15
2.5,10907.22,2850.00,2.80,54999980.89,92.00,420.00,0.15
2.58333,10863.19,2850.00,2.80,54999980.25,92.00,420.00,0.15
2.66667,10797.15,2850.00,2.80,54999979.62,92.00,420.00,0.15
